color, frequency
0, 171
1, 171
2, 174
3, 154
4, 253
5, 251
6, 214
7, 236
8, 190
9, 120
10, 87
11, 84
12, 80
13, 76
14, 64
15, 65
16, 48
17, 48
18, 46
19, 52
20, 41
21, 46
22, 50
23, 35
24, 36
25, 43
26, 62
27, 67
28, 94
29, 91
30, 107
31, 78
32, 102
33, 103
34, 101
35, 84
36, 116
37, 140
38, 113
39, 124
40, 113
41, 119
42, 135
43, 172
44, 165
45, 167
46, 135
47, 156
48, 147
49, 182
50, 191
51, 203
52, 180
53, 195
54, 190
55, 184
56, 172
57, 213
58, 211
59, 190
60, 210
61, 198
62, 241
63, 256
64, 273
65, 253
66, 267
67, 249
68, 297
69, 232
70, 228
71, 207
72, 184
73, 137
74, 148
75, 170
76, 137
77, 165
78, 180
79, 185
80, 158
81, 207
82, 179
83, 179
84, 188
85, 194
86, 213
87, 211
88, 187
89, 203
90, 211
91, 197
92, 179
93, 178
94, 183
95, 180
96, 155
97, 169
98, 174
99, 169
100, 163
101, 194
102, 179
103, 199
104, 216
105, 227
106, 235
107, 246
108, 212
109, 258
110, 227
111, 222
112, 202
113, 211
114, 221
115, 218
116, 216
117, 244
118, 221
119, 237
120, 252
121, 242
122, 249
123, 251
124, 294
125, 268
126, 255
127, 251
128, 283
129, 286
130, 288
131, 283
132, 297
133, 354
134, 374
135, 372
136, 357
137, 341
138, 376
139, 347
140, 328
141, 346
142, 305
143, 348
144, 301
145, 320
146, 284
147, 305
148, 304
149, 322
150, 293
151, 307
152, 330
153, 294
154, 302
155, 292
156, 283
157, 296
158, 340
159, 332
160, 318
161, 322
162, 371
163, 379
164, 390
165, 404
166, 425
167, 425
168, 450
169, 450
170, 445
171, 468
172, 435
173, 488
174, 391
175, 423
176, 413
177, 382
178, 397
179, 408
180, 419
181, 420
182, 466
183, 443
184, 423
185, 447
186, 376
187, 433
188, 327
189, 348
190, 340
191, 315
192, 335
193, 332
194, 333
195, 350
196, 354
197, 412
198, 375
199, 364
200, 384
201, 407
202, 443
203, 478
204, 476
205, 511
206, 469
207, 479
208, 423
209, 470
210, 498
211, 548
212, 556
213, 481
214, 454
215, 485
216, 482
217, 568
218, 575
219, 498
220, 466
221, 450
222, 394
223, 347
224, 365
225, 402
226, 341
227, 350
228, 331
229, 321
230, 226
231, 232
232, 196
233, 168
234, 104
235, 75
236, 48
237, 25
238, 10
239, 0
240, 0
241, 0
242, 0
243, 0
244, 0
245, 0
246, 0
247, 0
248, 0
249, 0
250, 0
251, 0
252, 0
253, 0
254, 0
255, 0
