color, frequency
0, 164
1, 30
2, 141
3, 49
4, 248
5, 107
6, 443
7, 215
8, 734
9, 263
10, 952
11, 305
12, 962
13, 324
14, 938
15, 265
16, 901
17, 316
18, 829
19, 259
20, 781
21, 245
22, 751
23, 246
24, 722
25, 257
26, 750
27, 261
28, 666
29, 223
30, 699
31, 219
32, 678
33, 222
34, 667
35, 225
36, 724
37, 210
38, 753
39, 249
40, 792
41, 253
42, 706
43, 268
44, 805
45, 333
46, 844
47, 261
48, 876
49, 288
50, 898
51, 319
52, 912
53, 295
54, 850
55, 305
56, 905
57, 287
58, 893
59, 291
60, 852
61, 279
62, 864
63, 266
64, 833
65, 258
66, 844
67, 287
68, 844
69, 302
70, 885
71, 300
72, 896
73, 300
74, 936
75, 282
76, 852
77, 288
78, 858
79, 280
80, 824
81, 242
82, 787
83, 265
84, 795
85, 235
86, 743
87, 235
88, 688
89, 202
90, 659
91, 190
92, 633
93, 203
94, 609
95, 189
96, 648
97, 197
98, 596
99, 211
100, 563
101, 185
102, 566
103, 212
104, 577
105, 200
106, 571
107, 176
108, 567
109, 198
110, 526
111, 184
112, 594
113, 167
114, 592
115, 179
116, 515
117, 155
118, 498
119, 176
120, 458
121, 149
122, 382
123, 96
124, 324
125, 115
126, 261
127, 58
128, 210
129, 59
130, 186
131, 62
132, 155
133, 57
134, 145
135, 43
136, 141
137, 50
138, 120
139, 48
140, 106
141, 28
142, 100
143, 28
144, 79
145, 16
146, 58
147, 15
148, 43
149, 12
150, 49
151, 13
152, 54
153, 21
154, 86
155, 50
156, 156
157, 48
158, 250
159, 76
160, 224
161, 44
162, 171
163, 36
164, 75
165, 14
166, 31
167, 5
168, 20
169, 9
170, 11
171, 4
172, 7
173, 2
174, 5
175, 0
176, 1
177, 0
178, 2
179, 0
180, 0
181, 0
182, 0
183, 0
184, 0
185, 0
186, 0
187, 0
188, 0
189, 0
190, 0
191, 0
192, 0
193, 0
194, 0
195, 0
196, 0
197, 0
198, 0
199, 0
200, 0
201, 0
202, 0
203, 0
204, 0
205, 0
206, 0
207, 0
208, 0
209, 0
210, 0
211, 0
212, 0
213, 0
214, 0
215, 0
216, 0
217, 0
218, 0
219, 0
220, 0
221, 0
222, 0
223, 0
224, 0
225, 0
226, 0
227, 0
228, 0
229, 0
230, 0
231, 0
232, 0
233, 0
234, 0
235, 0
236, 0
237, 0
238, 0
239, 0
240, 0
241, 0
242, 0
243, 0
244, 0
245, 0
246, 0
247, 0
248, 0
249, 0
250, 0
251, 0
252, 0
253, 0
254, 0
255, 0
