color, frequency
0, 0
1, 0
2, 1
3, 1
4, 1
5, 1
6, 2
7, 2
8, 2
9, 2
10, 3
11, 3
12, 4
13, 4
14, 5
15, 5
16, 6
17, 6
18, 7
19, 7
20, 8
21, 8
22, 9
23, 9
24, 11
25, 11
26, 12
27, 13
28, 14
29, 15
30, 16
31, 16
32, 18
33, 18
34, 20
35, 20
36, 21
37, 22
38, 23
39, 24
40, 25
41, 26
42, 28
43, 29
44, 31
45, 32
46, 35
47, 36
48, 39
49, 41
50, 44
51, 45
52, 47
53, 48
54, 50
55, 50
56, 51
57, 52
58, 53
59, 53
60, 55
61, 55
62, 56
63, 57
64, 58
65, 59
66, 61
67, 61
68, 64
69, 65
70, 68
71, 69
72, 72
73, 0
74, 1
75, 2
76, 3
77, 3
78, 4
79, 5
80, 6
81, 6
82, 7
83, 7
84, 8
85, 8
86, 9
87, 9
88, 10
89, 11
90, 12
91, 12
92, 13
93, 13
94, 15
95, 15
96, 16
97, 16
98, 17
99, 18
100, 19
101, 19
102, 20
103, 21
104, 22
105, 22
106, 24
107, 24
108, 25
109, 26
110, 27
111, 27
112, 29
113, 29
114, 30
115, 31
116, 32
117, 33
118, 34
119, 35
120, 36
121, 37
122, 38
123, 39
124, 41
125, 41
126, 43
127, 43
128, 45
129, 46
130, 47
131, 48
132, 50
133, 51
134, 53
135, 53
136, 55
137, 56
138, 58
139, 59
140, 62
141, 62
142, 65
143, 66
144, 69
145, 70
146, 73
147, 74
148, 76
149, 77
150, 80
151, 81
152, 83
153, 84
154, 87
155, 88
156, 91
157, 91
158, 94
159, 95
160, 98
161, 99
162, 102
163, 103
164, 106
165, 107
166, 110
167, 110
168, 113
169, 114
170, 117
171, 118
172, 120
173, 121
174, 124
175, 125
176, 127
177, 128
178, 130
179, 131
180, 134
181, 134
182, 137
183, 138
184, 142
185, 143
186, 145
187, 146
188, 149
189, 150
190, 153
191, 154
192, 157
193, 158
194, 160
195, 161
196, 164
197, 165
198, 167
199, 168
200, 170
201, 171
202, 173
203, 174
204, 176
205, 176
206, 178
207, 178
208, 178
209, 179
210, 179
211, 179
212, 179
213, 179
214, 179
215, 179
216, 180
217, 180
218, 180
219, 180
220, 180
221, 180
222, 180
223, 180
224, 180
225, 180
226, 180
227, 181
228, 181
229, 181
230, 181
231, 181
232, 181
233, 181
234, 181
235, 181
236, 181
237, 181
238, 181
239, 181
240, 181
241, 181
242, 181
243, 181
244, 181
245, 181
246, 181
247, 181
248, 182
249, 182
250, 182
251, 182
252, 182
253, 182
254, 182
255, 182
